area,quartos,banheiros,vagas,valor_total
50,1,1,0,853
40,1,2,1,1403
25,1,1,0,1224
71,1,1,0,2166
43,1,1,0,1739
48,1,1,1,2119
67,1,1,1,1006
50,1,1,0,2155
22,1,1,0,499
44,1,1,0,919
35,1,1,0,2348
48,1,1,0,1014
47,1,1,0,951
25,1,1,0,2081
30,1,1,0,897
28,1,1,0,1469
40,1,1,0,944
36,1,1,0,817
55,1,1,1,2377
53,1,1,1,1218
35,1,1,0,1001
46,1,1,0,971
45,1,1,0,792
31,1,1,1,1109
50,1,1,1,2112
20,1,1,0,549
19,1,1,0,862
30,1,1,0,557
30,1,1,0,977
45,1,1,0,1037
30,1,1,0,797
30,1,1,0,1964
30,1,1,0,856
55,1,1,0,1034
35,1,2,1,2212
30,1,1,1,507
30,1,1,0,1697
44,1,1,0,967
20,1,1,0,1020
47,1,1,0,963
25,1,1,1,545
53,1,1,0,925
26,1,1,0,930
46,1,1,1,1181
36,1,1,1,2311
39,1,1,0,1111
40,1,1,0,942
37,1,1,1,1041
53,1,1,0,805
45,1,1,1,1167
30,1,1,0,558
50,1,1,0,1813
25,1,1,1,642
30,1,1,0,880
48,1,1,1,2423
20,1,1,0,948
16,1,1,0,1043
60,1,1,1,834
40,1,1,0,898
30,1,1,0,693
25,1,1,0,608
47,1,1,1,1121
20,1,1,0,948
40,1,1,0,976
30,1,1,0,870
32,1,1,0,912
35,1,1,1,1317
49,1,1,0,1031
45,1,1,0,803
33,1,1,0,908
28,1,1,0,733
25,1,1,0,803
29,1,1,0,1324
45,1,1,1,2946
25,1,1,0,608
48,1,1,0,1030
50,1,1,1,1085
50,1,1,0,977
45,1,1,0,1009
49,1,1,0,1224
15,1,1,0,719
28,1,1,0,930
24,1,1,1,559
18,1,1,0,1336
25,1,1,0,559
56,1,1,0,1014
57,1,2,1,1319
63,1,1,1,957
34,1,1,0,1159
30,1,1,0,689
20,1,1,0,589
25,1,1,0,659
45,1,1,0,1109
22,1,1,0,764
50,1,1,0,902
55,1,1,1,1385
45,1,1,1,925
51,1,1,0,1072
22,1,1,0,764
36,1,1,0,1009
30,1,1,0,659
76,1,2,0,1109
40,1,1,1,1294
30,1,1,0,509
30,1,1,0,986
44,1,1,0,951
55,1,1,1,1234
39,1,1,0,873
50,1,1,1,1135
42,1,1,1,3195
50,1,1,1,1064
55,1,1,1,1117
